log_line,label
Apr 01 17:47:23 appserver03 sudo: botnet : TTY=pts/0 ; PWD=/home/botnet ; USER=root ; COMMAND=/usr/sbin/useradd hacker2,privilege_escalation
Apr 01 17:25:33 appserver03 sshd[5539]: Accepted password for frank from 192.168.1.18 port 62269 ssh2,normal
Apr 01 17:23:44 appserver03 sshd[9374]: Accepted password for eve from 192.168.1.27 port 44613 ssh2,normal
Apr 01 07:25:55 appserver03 sshd[5513]: Accepted password for root from 23.129.64.210 port 57792 ssh2,root_login
Apr 01 13:59:03 appserver03 pam_unix(sshd:session): session closed for user carol,normal
Apr 01 21:38:01 webserver01 sshd[5164]: Accepted password for carol from 192.168.1.21 port 50798 ssh2,normal
Apr 01 16:16:54 appserver03 sshd[7397]: Accepted password for grace from 192.168.1.14 port 49877 ssh2,normal
Apr 01 22:04:30 webserver01 sshd[6758]: Accepted password for grace from 192.168.1.17 port 56876 ssh2,normal
Apr 01 14:17:52 webserver01 sshd[5654]: Accepted password for alice from 192.168.1.12 port 48694 ssh2,normal
Apr 01 10:04:54 appserver03 sshd[7814]: Accepted password for grace from 192.168.1.13 port 56873 ssh2,normal
Apr 01 08:11:19 webserver01 pam_unix(sshd:session): session opened for user dave(uid=1000) by (uid=0),normal
Apr 01 08:55:23 webserver01 su[3456]: FAILED su for root by scanner,su_failure
"Apr 01 01:10:54 appserver03 useradd[1291]: new user: name=backdoor, UID=51124, GID=28739, home=/home/backdoor, shell=/bin/bash",new_user_created
Apr 01 06:34:29 appserver03 sshd[9561]: Accepted password for dave from 192.168.1.20 port 45132 ssh2,normal
Apr 01 17:48:51 dbserver02 sshd[1328]: Accepted password for root from 45.33.32.156 port 44735 ssh2,root_login
Apr 01 17:03:54 appserver03 sshd[2569]: Accepted password for eve from 192.168.1.14 port 59319 ssh2,normal
Apr 01 20:28:12 appserver03 sshd[9782]: Accepted password for grace from 192.168.1.16 port 65221 ssh2,normal
Apr 01 22:50:00 appserver03 sshd[5356]: Accepted password for carol from 192.168.1.11 port 43694 ssh2,normal
Apr 01 10:09:49 appserver03 pam_unix(sshd:session): session closed for user carol,normal
Apr 01 21:09:30 webserver01 sshd[4338]: Accepted password for bob from 192.168.1.25 port 49789 ssh2,normal
Apr 01 12:22:02 appserver03 pam_unix(sshd:session): session closed for user dave,normal
Apr 01 14:31:06 dbserver02 sshd[2930]: Accepted password for grace from 192.168.1.14 port 63001 ssh2,normal
Apr 01 00:14:29 webserver01 sshd[5189]: Accepted password for bob from 192.168.1.12 port 55831 ssh2,after_hours_login
Apr 01 07:59:56 dbserver02 pam_unix(sshd:session): session opened for user carol(uid=1000) by (uid=0),normal
Apr 01 11:24:18 appserver03 sudo: scanner : TTY=pts/0 ; PWD=/home/scanner ; USER=root ; COMMAND=/bin/bash,privilege_escalation
Apr 01 21:54:19 dbserver02 sshd[5026]: Accepted password for alice from 192.168.1.27 port 57338 ssh2,normal
Apr 01 11:26:31 webserver01 systemd-logind[618]: New session 417 of user carol.,normal
Apr 01 13:05:36 appserver03 pam_unix(sshd:session): session opened for user frank(uid=1000) by (uid=0),normal
Apr 01 20:53:44 webserver01 pam_unix(sshd:session): session opened for user bob(uid=1000) by (uid=0),normal
Apr 01 12:45:01 appserver03 sshd[2233]: Accepted password for dave from 192.168.1.28 port 47382 ssh2,normal
Apr 01 21:14:33 appserver03 pam_unix(sshd:session): session closed for user carol,normal
Apr 01 10:24:39 appserver03 sshd[5516]: Accepted password for bob from 192.168.1.26 port 62890 ssh2,normal
Apr 01 19:13:42 appserver03 sshd[8689]: Accepted password for grace from 192.168.1.16 port 56171 ssh2,normal
Apr 01 08:04:37 dbserver02 pam_unix(sshd:session): session closed for user frank,normal
Apr 01 21:55:52 webserver01 sshd[2226]: Accepted password for grace from 192.168.1.26 port 52895 ssh2,normal
Apr 01 22:17:16 dbserver02 CRON[8382]: pam_unix(cron:session): session opened for user frank(uid=1000) by (uid=0),normal
Apr 01 11:35:29 webserver01 CRON[6833]: pam_unix(cron:session): session opened for user alice(uid=1000) by (uid=0),normal
Apr 01 21:58:32 dbserver02 sshd[8272]: Accepted password for alice from 192.168.1.28 port 63057 ssh2,normal
Apr 01 21:23:13 webserver01 CRON[3450]: pam_unix(cron:session): session opened for user carol(uid=1000) by (uid=0),normal
Apr 01 17:17:55 webserver01 CRON[2364]: pam_unix(cron:session): session opened for user dave(uid=1000) by (uid=0),normal
Apr 01 08:59:18 webserver01 sshd[2687]: Accepted password for alice from 192.168.1.13 port 41110 ssh2,normal
Apr 01 07:10:47 webserver01 sshd[1672]: Accepted password for grace from 192.168.1.27 port 60911 ssh2,normal
Apr 01 17:32:31 dbserver02 sshd[3882]: Accepted password for grace from 192.168.1.15 port 47994 ssh2,normal
Apr 01 14:26:34 webserver01 pam_unix(sshd:session): session opened for user dave(uid=1000) by (uid=0),normal
Apr 01 22:53:59 appserver03 sshd[2496]: Accepted password for frank from 192.168.1.24 port 43505 ssh2,normal
Apr 01 11:12:11 appserver03 pam_unix(sshd:session): session opened for user eve(uid=1000) by (uid=0),normal
Apr 01 15:38:46 dbserver02 pam_unix(sshd:session): session opened for user alice(uid=1000) by (uid=0),normal
Apr 01 16:50:31 appserver03 sshd[8702]: Accepted password for alice from 192.168.1.12 port 49354 ssh2,normal
Apr 01 22:56:59 dbserver02 sshd[7838]: Accepted password for grace from 192.168.1.20 port 52919 ssh2,normal
Apr 01 19:53:42 webserver01 sshd[2064]: Accepted password for frank from 192.168.1.22 port 61942 ssh2,normal
Apr 01 17:18:52 dbserver02 sshd[8261]: Accepted password for bob from 192.168.1.13 port 61163 ssh2,normal
Apr 01 08:21:28 dbserver02 CRON[2972]: pam_unix(cron:session): session opened for user eve(uid=1000) by (uid=0),normal
Apr 01 07:02:05 webserver01 CRON[3965]: pam_unix(cron:session): session opened for user dave(uid=1000) by (uid=0),normal
Apr 01 20:00:00 appserver03 sshd[2403]: Accepted password for bob from 192.168.1.14 port 51418 ssh2,normal
Apr 01 09:31:08 dbserver02 sshd[9879]: Accepted password for alice from 192.168.1.11 port 56244 ssh2,normal
Apr 01 08:30:44 appserver03 systemd-logind[375]: New session 164 of user grace.,normal
Apr 01 08:03:11 dbserver02 sshd[6239]: Accepted password for bob from 192.168.1.17 port 53224 ssh2,normal
Apr 01 08:36:14 webserver01 su[1516]: FAILED su for root by alice,su_failure
Apr 01 22:36:59 webserver01 sshd[3343]: Accepted password for frank from 192.168.1.22 port 57333 ssh2,normal
Apr 01 19:08:52 appserver03 sshd[9369]: Accepted password for carol from 192.168.1.14 port 45299 ssh2,normal
Apr 01 13:30:17 appserver03 sshd[9141]: Failed password for invalid user admin from 198.51.100.77 port 58517 ssh2,ssh_brute_force
Apr 01 06:10:40 webserver01 sshd[4132]: Accepted password for carol from 192.168.1.12 port 42704 ssh2,normal
Apr 01 18:10:41 webserver01 sshd[1152]: Failed password for botnet from 103.253.41.98 port 52226 ssh2,ssh_brute_force
Apr 01 12:19:28 dbserver02 sshd[8092]: Accepted password for root from 198.51.100.77 port 49686 ssh2,root_login
Apr 01 02:47:07 appserver03 sshd[6703]: Accepted password for root from 23.129.64.210 port 58070 ssh2,root_login
Apr 01 16:14:44 dbserver02 sshd[1073]: Accepted password for carol from 192.168.1.25 port 42158 ssh2,normal
"Apr 01 20:53:13 webserver01 adduser[6630]: new user: name=svc_acct, UID=15675, GID=19765, home=/home/svc_acct, shell=/bin/bash",new_user_created
Apr 01 16:40:45 appserver03 sshd[5926]: Accepted password for root from 45.33.32.156 port 53778 ssh2,root_login
Apr 01 12:32:43 dbserver02 sshd[9181]: Accepted password for carol from 192.168.1.17 port 44378 ssh2,normal
Apr 01 14:29:01 appserver03 sshd[2973]: Accepted password for carol from 192.168.1.18 port 45089 ssh2,normal
Apr 01 07:10:39 dbserver02 pam_unix(sshd:session): session opened for user grace(uid=1000) by (uid=0),normal
Apr 01 19:29:26 appserver03 CRON[2383]: pam_unix(cron:session): session opened for user carol(uid=1000) by (uid=0),normal
Apr 01 11:22:13 dbserver02 sshd[5585]: Accepted password for dave from 192.168.1.23 port 46132 ssh2,normal
Apr 01 21:18:14 webserver01 sshd[5770]: Accepted password for carol from 192.168.1.12 port 45168 ssh2,normal
Apr 01 08:08:49 dbserver02 sshd[4885]: Accepted password for eve from 192.168.1.19 port 52134 ssh2,normal
Apr 01 20:06:01 webserver01 sshd[4141]: Accepted password for frank from 192.168.1.14 port 41238 ssh2,normal
Apr 01 06:31:15 webserver01 sshd[7533]: Accepted password for eve from 192.168.1.19 port 42481 ssh2,normal
Apr 01 06:39:04 dbserver02 pam_unix(sshd:session): session opened for user eve(uid=1000) by (uid=0),normal
Apr 01 16:44:49 webserver01 sudo: botnet : TTY=pts/0 ; PWD=/home/botnet ; USER=root ; COMMAND=/usr/bin/chmod 777 /etc/passwd,privilege_escalation
Apr 01 07:33:43 appserver03 pam_unix(sshd:session): session closed for user bob,normal
Apr 01 12:21:11 dbserver02 sshd[4413]: Accepted password for alice from 192.168.1.25 port 47373 ssh2,normal
"Apr 01 17:09:49 appserver03 adduser[8114]: new user: name=testadmin, UID=55856, GID=27588, home=/home/testadmin, shell=/bin/bash",new_user_created
Apr 01 11:57:27 webserver01 CRON[9902]: pam_unix(cron:session): session opened for user eve(uid=1000) by (uid=0),normal
Apr 01 06:12:43 webserver01 systemd-logind[610]: New session 318 of user eve.,normal
Apr 01 09:39:34 webserver01 pam_unix(sshd:session): session opened for user grace(uid=1000) by (uid=0),normal
Apr 01 13:46:44 webserver01 pam_unix(sshd:session): session closed for user grace,normal
Apr 01 16:06:32 dbserver02 sshd[1323]: Accepted password for dave from 192.168.1.20 port 58038 ssh2,normal
Apr 01 20:49:47 webserver01 sshd[4231]: Accepted password for carol from 192.168.1.19 port 57775 ssh2,normal
Apr 01 18:01:17 appserver03 sshd[5734]: Failed password for invalid user admin from 198.51.100.77 port 59403 ssh2,ssh_brute_force
Apr 01 14:20:22 dbserver02 sshd[9307]: Accepted password for dave from 192.168.1.28 port 59787 ssh2,normal
Apr 01 06:25:30 dbserver02 sshd[6526]: Accepted password for bob from 192.168.1.13 port 44911 ssh2,normal
